[2026-09-12T18:47:00.771Z] GET http://localhost:5173/assets/screens/genfit-confirm-food.png → 200 (?ms, ?B)
[2026-09-12T18:47:00.824Z] GET https://fonts.gstatic.com/s/fredoka/v17/X7n64b87HvSqjb_WIi2yDCRwoQ_k7367_DWu89XgHPyh.woff2 → 200 (1ms, ?B)
[2026-09-12T18:47:00.826Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0vQVKwOs1tqhwg.woff2 → 200 (?ms, ?B)
[2026-09-12T18:47:00.826Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0uYVKwOs1to.woff2 → 200 (2ms, ?B)
[2026-09-12T18:47:00.828Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (?ms, ?B)
[2026-09-12T18:53:30.561Z] GET http://localhost:5173/ → 200 (7ms, 79061B)
[2026-09-12T18:53:30.578Z] GET https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Hind+Siliguri:wght@500;600;700&family=Nunito:wght@400;500;600;700;800;900&display=swap → 200 (1ms, 20136B)
[2026-09-12T18:53:30.579Z] GET http://localhost:5173/styles.css → 200 (?ms, 4566B)
[2026-09-12T18:53:30.579Z] GET http://localhost:5173/assets/cv.jpeg → 200 (1ms, 26092B)
[2026-09-12T18:53:30.580Z] GET http://localhost:5173/app.js → 200 (?ms, 4949B)
[2026-09-12T18:53:30.581Z] GET http://localhost:5173/assets/screens/genfit-nutrition.png → 200 (1ms, 307492B)
[2026-09-12T18:53:30.582Z] GET http://localhost:5173/assets/screens/genfit-workout.png → 200 (?ms, 388854B)
[2026-09-12T18:53:30.582Z] GET http://localhost:5173/assets/screens/genfit-confirm-food.png → 200 (?ms, 1075811B)
[2026-09-12T18:53:30.610Z] GET https://fonts.gstatic.com/s/fredoka/v17/X7n64b87HvSqjb_WIi2yDCRwoQ_k7367_DWu89XgHPyh.woff2 → 200 (?ms, ?B)
[2026-09-12T18:53:30.610Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0vQVKwOs1tqhwg.woff2 → 200 (?ms, ?B)
[2026-09-12T18:53:30.610Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0uYVKwOs1to.woff2 → 200 (?ms, ?B)
[2026-09-12T18:53:30.611Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (?ms, ?B)
[2026-09-12T19:09:24.880Z] GET http://localhost:5173/ → pending (?ms, ?B)
[2026-09-12T19:10:10.489Z] GET http://localhost:5173/ → 200 (13ms, 81697B)
[2026-09-12T19:10:10.562Z] GET https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Hind+Siliguri:wght@500;600;700&family=Nunito:wght@400;500;600;700;800;900&display=swap → 200 (2ms, 20136B)
[2026-09-12T19:10:10.562Z] GET http://localhost:5173/styles.css → 200 (2ms, 4566B)
[2026-09-12T19:10:10.562Z] GET http://localhost:5173/assets/cv.jpeg → 200 (2ms, 26092B)
[2026-09-12T19:10:10.562Z] GET http://localhost:5173/app.js → 200 (12ms, 4949B)
[2026-09-12T19:10:10.677Z] GET https://fonts.gstatic.com/s/fredoka/v17/X7n64b87HvSqjb_WIi2yDCRwoQ_k7367_DWu89XgHPyh.woff2 → 200 (1ms, 29704B)
[2026-09-12T19:10:10.677Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (1ms, 39152B)
[2026-09-12T19:10:10.677Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0uYVKwOs1to.woff2 → 200 (1ms, 8072B)
[2026-09-12T19:10:10.677Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0vQVKwOs1tqhwg.woff2 → 200 (2ms, 39644B)
[2026-09-12T19:10:10.710Z] GET http://localhost:5173/assets/screens/genfit-nutrition.png → 200 (4ms, 307492B)
